memfree, swapfree, virt, res, shr
1609552, 756140, 223940, 4864, 2928
1584780, 756140, 248624, 29680, 2928
1559880, 756140, 273440, 54496, 2928
1536120, 756140, 297200, 78256, 2928
1511100, 756140, 322280, 103336, 2928
1485900, 756140, 347228, 128152, 2928
1459260, 756140, 373760, 154552, 2928
1434120, 756140, 399104, 180160, 2928
1408380, 756140, 424844, 205504, 2928
1382700, 756140, 450452, 231376, 2928
1358220, 756140, 474872, 255664, 2928
1334820, 756140, 497840, 278632, 2928
1309560, 756140, 523184, 304240, 2928
1284420, 756140, 548660, 329320, 2928
1259232, 756140, 573344, 354400, 2928
1234272, 756140, 598424, 379480, 2928
1208952, 756140, 623504, 404560, 2928
1184232, 756140, 648320, 429376, 2928
1159152, 756140, 673268, 454192, 2928
1134312, 756140, 697952, 479008, 2928
1108932, 756140, 723560, 504616, 2928
1084348, 756140, 747716, 528640, 2928
1060268, 756140, 772004, 553192, 2928
1035548, 756140, 796424, 577480, 2928
1011488, 756140, 820844, 601768, 2928
986768, 756140, 845264, 626320, 2928
961268, 756140, 870872, 651928, 2928
936728, 756140, 895160, 676216, 2928
909788, 756140, 921956, 702880, 2928
884644, 756140, 947300, 728224, 2928
859564, 756140, 972512, 753568, 2928
833884, 756140, 998120, 779176, 2928
808504, 756140, 1023332, 804256, 2928
782044, 756140, 1049732, 830656, 2928
757444, 756140, 1074152, 855208, 2928
732004, 756140, 1099628, 880552, 2928
706624, 756140, 1124972, 905896, 2928
681540, 756140, 1150184, 930976, 2928
656580, 756140, 1175132, 955792, 2928
631260, 756140, 1199948, 980872, 2928
605460, 756140, 1225688, 1006744, 2928
580920, 756140, 1250240, 1031296, 2928
555360, 756140, 1276112, 1057168, 2928
530760, 756140, 1300400, 1081456, 2928
504720, 756140, 1326404, 1107328, 2928
478316, 756140, 1352804, 1133728, 2928
452636, 756140, 1378676, 1159600, 2928
426536, 756140, 1404548, 1185472, 2928
401216, 756140, 1429760, 1210816, 2928
375056, 756140, 1455764, 1236952, 2928
348956, 756140, 1481900, 1262824, 2928
322916, 756140, 1507904, 1288960, 2928
301612, 756140, 1529156, 1310080, 2928
276172, 756140, 1554500, 1335424, 2928
250312, 756140, 1580240, 1361296, 2928
226492, 756140, 1604132, 1385056, 2928
202132, 756140, 1628420, 1409344, 2928
176692, 756140, 1653764, 1434688, 2928
150892, 756140, 1679504, 1460560, 2928
126952, 756140, 1703264, 1484320, 2928
102588, 756140, 1727684, 1508344, 2928
77508, 756140, 1753028, 1533952, 2928
79196, 755884, 1781144, 1562200, 2928
78684, 755884, 1809392, 1590184, 2928
73092, 755372, 1846748, 1627704, 2876
