memfree, swapfree, virt1, res1, shr1, virt2, res2, shr2
1272588, 839676, 223676,4088,2952, 223940,4356,2956
1241964, 839676, 231464,12008,2952, 231860,12540,2956
1211904, 839676, 238856,19400,2952, 239252,19932,2956
1179324, 839676, 247040,27584,2952, 247700,28380,2956
1149384, 839676, 254696,35240,2952, 254696,35244,2956
1115476, 839676, 263276,43952,2952, 262616,43164,2956
1087936, 839676, 270140,50816,2952, 269744,50292,2956
1056916, 839676, 278324,59000,2952, 278060,58740,2956
1023900, 839676, 286376,66920,2952, 285584,66132,2956
992752, 839676, 294164,74840,2952, 293108,73788,2956
967012, 839676, 300500,81176,2952, 299972,80652,2956
936952, 839676, 308156,88568,2952, 307628,88308,2956
907132, 839676, 315416,95960,2952, 315416,95964,2956
872632, 839676, 324128,104672,2952, 323996,104676,2956
842212, 839676, 331520,112064,2952, 331256,111804,2956
808664, 839676, 340364,121040,2952, 339968,120516,2956
777456, 839676, 348416,128960,2952, 348152,128700,2956
743060, 839676, 356600,137144,2952, 356864,137412,2956
709564, 839676, 364916,145592,2952, 364916,145332,2956
676788, 839676, 373100,153776,2952, 372704,153252,2956
645228, 839676, 381020,161696,2952, 380888,161436,2956
612588, 839676, 389600,170144,2952, 389072,169620,2956
584928, 839676, 396596,177272,2952, 395804,176220,2956
550908, 839676, 404912,185456,2952, 404120,184668,2956
521988, 839676, 412172,192848,2952, 411116,191796,2956
490848, 839676, 420092,200768,2952, 418772,199452,2956
458980, 839676, 428672,209216,2952, 427220,207900,2956
426804, 839676, 436724,217400,2952, 435140,215820,2956
391928, 839676, 444908,225584,2952, 444116,224532,2956
358500, 839676, 453356,234032,2952, 452696,233244,2956
324644, 839676, 462068,242744,2952, 461144,241692,2956
292784, 839676, 469856,250400,2952, 468932,249612,2956
259184, 839676, 478436,259112,2952, 477380,258060,2956
229784, 839676, 486092,266504,2952, 484508,264924,2956
198824, 839676, 493748,274424,2952, 492164,272844,2956
166844, 839676, 502196,282608,2952, 500480,281028,2956
136784, 839676, 509852,290528,2952, 507872,288420,2956
106116, 839676, 517772,298448,2952, 515792,296340,2956
72680, 839676, 526088,306632,2952, 524372,305052,2956
74164, 838896, 535592,315740,2564, 533612,313892,2564
74684, 836336, 544964,325244,2564, 542456,322604,2564
71276, 835312, 553148,333428,2564, 551036,331316,2564
74088, 830960, 561860,341876,2564, 559616,339764,2564
76508, 827120, 570836,351116,2564, 568064,348212,2564
75156, 823460, 581132,361200,2352, 577700,357748,2332
72820, 793900, 618752,397424,1120, 616112,394808,1140
75900, 582140, 664952,404456,1020, 662048,402228,1020
74480, 420348, 700988,404576,1120, 698744,403456,1304
69928, 138748, 763688,406644,480, 763160,403276,484
73516, 28288, 784676,404168,968, 784280,404156,1036
364312, 229976, 823880,440496,1644, 823352,440324,1636
331004, 229976, 833912,450264,1644, 833252,450356,1636
302564, 229976, 843548,460032,1644, 842888,459860,1636
275204, 229976, 852656,469392,1772, 851996,469340,1892
246044, 229976, 862424,478896,1772, 861896,479372,1892
218264, 229976, 871796,488400,1772, 871136,488612,1892
191084, 229976, 881036,497640,1772, 879716,497060,1892
161984, 229976, 891068,507672,1772, 888956,506300,1892
134204, 229976, 900044,516648,1772, 898328,515804,1892
106124, 229976, 909548,526152,1772, 907700,525044,1892
77804, 229976, 918788,535392,1772, 917072,534548,1892
73680, 226636, 932384,540488,1760, 930536,539656,1880
68940, 132244, 970928,543964,1684, 969080,543820,1784
541220, 284160, 1042736,588136,1796, 1042340,588968,1872
505880, 284160, 1055804,601072,1796, 1054880,601376,1872
480980, 284160, 1067684,613216,1796, 1067420,613784,1872
451880, 284160, 1082732,628000,1796, 1082072,628568,1872
425788, 284160, 1095800,641200,1796, 1095140,641768,1872
405088, 284160, 1106228,651760,1796, 1104644,651272,1872
376888, 284160, 1120616,666016,1796, 1119164,665792,1872
347668, 284160, 1135136,680536,1796, 1133684,680312,1872
320548, 284160, 1148468,694000,1796, 1146884,693512,1872
294808, 284164, 1161536,706936,1796, 1160084,706712,1872
266608, 284164, 1175264,720664,1796, 1174208,720704,1872
242248, 284164, 1187276,732544,1796, 1185956,732320,1872
214588, 284164, 1201664,747064,1796, 1199816,746312,1872
187648, 284164, 1215128,760528,1796, 1213280,759776,1872
157828, 284164, 1229912,775312,1796, 1227800,774296,1872
127948, 284164, 1244828,790096,1796, 1243112,789608,1872
98308, 284164, 1259348,804616,1796, 1257764,804128,1872
68248, 284164, 1274132,819400,1796, 1272416,818912,1872
72552, 276184, 1351748,827016,624, 1352408,829904,576
